Jammer_Type,Algorithm,Input_SNR_dB,Output_SNR_dB,SNR_Improvement_dB,MSE_Before,MSE_After,MSE_Reduction_Percent,PESQ_Score,Execution_Time_s
tone,LMS,9.292117953300476,14.26021695137024,4.968098998069763,0.02719261,0.008662454,68.14408898353577,4.57984893530224,0.33238697052001953
tone,NLMS,9.292117953300476,0.5418723449110985,-8.750245608389378,0.02719261,0.20392732,-649.936580657959,2.1205409859293054,0.5679619312286377
tone,RLS,9.292117953300476,4.0942007303237915,-5.197917222976685,0.02719261,0.09000001,-230.97233772277832,3.4354071770217214,1.4706487655639648
noise,LMS,12.717887163162231,12.985066175460815,0.267179012298584,0.012355888,0.01161866,5.966616049408913,4.470952737534425,0.3145291805267334
noise,NLMS,12.717887163162231,3.8702204823493958,-8.847666680812836,0.012355888,0.09476339,-666.9492721557617,3.3811087208815107,0.529940128326416
noise,RLS,12.717887163162231,3.8487249612808228,-8.869162201881409,0.012355888,0.09523359,-670.7547187805176,3.382071791050254,1.4265844821929932
sweep,LMS,6.448177695274353,7.973967790603638,1.5257900953292847,0.052341346,0.036835443,29.62457835674286,3.9322619140484787,0.3031308650970459
sweep,NLMS,6.448177695274353,0.16290558502078056,-6.2852721102535725,0.052341346,0.22252156,-325.13535022735596,1.8566496181796515,0.43476414680480957
sweep,RLS,6.448177695274353,3.96848201751709,-2.479695677757263,0.052341346,0.092643395,-76.99849605560303,3.325552998603463,0.9819681644439697
burst,LMS,5.094538927078247,13.707698583602905,8.613159656524658,0.07148399,0.009837684,86.23791933059692,4.390936399017468,0.24165010452270508
burst,NLMS,5.094538927078247,3.6425790190696716,-1.4519599080085754,0.07148399,0.09986304,-39.69986140727997,3.330567688913491,0.36834716796875
burst,RLS,5.094538927078247,4.0094611048698425,-1.0850778222084045,0.07148399,0.091773346,-28.383073210716248,3.2475845604740163,0.929551362991333
combined,LMS,6.488820314407349,9.248371124267578,2.7595508098602295,0.05185381,0.027467906,47.028180956840515,4.1448232014228195,0.2192225456237793
combined,NLMS,6.488820314407349,0.3108574077486992,-6.1779629066586494,0.05185381,0.21506855,-314.75939750671387,2.0259010266046924,0.3483552932739258
combined,RLS,6.488820314407349,4.0026843547821045,-2.486135959625244,0.05185381,0.091916665,-77.26116180419922,3.451167154836461,0.9079349040985107
